id,role,organization,location,when
1,Doctoral Research Intern,"WestEd, Center for Teaching and Learning",Remote,Jun 2023--Present
2,Graduate Researcher (Learning Sciences),University of Wisconsin-Madison,"Madison, WI",Aug 2019--Present
3,Teaching Assistant,University of Wisconsin-Madison,"Madison, WI",Aug 2021--Aug 2025
4,General Manager,Center for In-Service Teacher Education,"Seoul, South Korea",Jun 2016--Oct 2017
5,Educational Content Researcher,"EBS Math, Educational Broadcasting System","Seoul, South Korea",Apr 2013--Jun 2014
